COMMON NAME,OBSERVATION COUNT,STATE,STATE CODE,COUNTY,COUNTY CODE,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,GROUP IDENTIFIER,APPROVED,SPECIES COMMENTS
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,"Edwards Valley, gullies on west side above bush line",L1491033,P,-42.3797727,172.7172367,1966-02-13,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,"Close to lake Thompson, Head of the Waiau Valley",L1491411,P,-42.1165211,172.6407639,1979-01-03,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,"Technical/ Norma ridge, 4200'-5300', alpine scrub and grassland with rock screes",L1491447,P,-42.4206643,172.3500615,1979-10-01,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,"Mt. Gloriana, Spencer Mts",L1491580,P,-42.266187,172.4872813,1981-01-15,,1.0,Data from Michelsen-Heath & Gaze 2007
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,rock bivouac,L2128598,P,-42.1109325,172.70437,2013-03-29,,1.0,
South Island Wren,3.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD9,L35328837,P,-42.772784,172.056404,2020-02-10,,1.0,
South Island Wren,2.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD18,L35328833,P,-42.773181,172.048968,2020-02-10,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD10,L35328831,P,-42.774035,172.056373,2020-02-09,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD17,L35328832,P,-42.776581,172.048539,2020-02-09,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD18,L35328833,P,-42.773181,172.048968,2020-02-09,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD2,L35328830,P,-42.7710791,172.0615639,2020-02-09,,1.0,
South Island Wren,2.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD3,L35328836,P,-42.7729751,172.064359,2020-02-10,,1.0,
South Island Wren,2.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD11,L35328868,P,-42.435641,172.300556,2020-03-11,,1.0,
South Island Wren,2.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD12,L35328875,P,-42.439566,172.297225,2020-03-12,,1.0,
South Island Wren,2.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD20,L35328877,P,-42.4257996,172.3079182,2020-03-12,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Grand Dutchess GD13,L35328876,P,-42.438691,172.296525,2020-03-12,,1.0,
South Island Wren,2.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD10,L35328831,P,-42.774035,172.056373,2021-02-17,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD22,L35328940,P,-42.774628,172.04859,2021-02-17,,1.0,
South Island Wren,1.0,Canterbury,NZ-CAN,Hurunui District,NZ-CAN-058,Studleigh Range STUD8,L35328944,P,-42.7702118,172.0579345,2021-02-19,,1.0,
