GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS148129021	2020-07-29 13:31:25	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				X					New Zealand	NZ	Canterbury	NZ-CAN	Hurunui District	NZ-CAN-058					Edwards Valley, gullies on west side above bush line	L1491033	P	-42.3797727	172.7172367	1966-02-13		obsr292791	S10430957	Incidental	P20	EBIRD					0		0	1	1			Data from Michelsen-Heath & Gaze 2007	
URN:CornellLabOfOrnithology:EBIRD:OBS148129405	2020-07-29 13:31:47	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				X					New Zealand	NZ	Canterbury	NZ-CAN	Hurunui District	NZ-CAN-058					Close to lake Thompson, Head of the Waiau Valley	L1491411	P	-42.1165211	172.6407639	1979-01-03		obsr292791	S10431341	Incidental	P20	EBIRD					0		0	1	1			Data from Michelsen-Heath & Gaze 2007	
URN:CornellLabOfOrnithology:EBIRD:OBS148129441	2020-07-29 13:31:47	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				X					New Zealand	NZ	Canterbury	NZ-CAN	Hurunui District	NZ-CAN-058					Technical/ Norma ridge, 4200'-5300', alpine scrub and grassland with rock screes	L1491447	P	-42.4206643	172.3500615	1979-10-01		obsr292791	S10431377	Incidental	P20	EBIRD					0		0	1	1			Data from Michelsen-Heath & Gaze 2007	
URN:CornellLabOfOrnithology:EBIRD:OBS148129563	2020-07-29 13:31:47	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				X					New Zealand	NZ	Canterbury	NZ-CAN	Hurunui District	NZ-CAN-058					Mt. Gloriana, Spencer Mts	L1491580	P	-42.2661870	172.4872813	1981-01-15		obsr292791	S10431499	Incidental	P20	EBIRD					0		0	1	1			Data from Michelsen-Heath & Gaze 2007	
URN:CornellLabOfOrnithology:EBIRD:OBS191886336	2024-04-18 08:36:10.936029	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	Canterbury	NZ-CAN	Hurunui District	NZ-CAN-058					rock bivouac	L2128598	P	-42.1109325	172.7043700	2013-03-29	17:30:00	obsr406195	S13831772	Incidental	P20	EBIRD				2	0		0	1	1				
URN:CornellLabOfOrnithology:EBIRD:OBS2353542023	2024-07-30 17:32:27.377494	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				3					New Zealand	NZ	Canterbury	NZ-CAN	Hurunui District	NZ-CAN-058				blkCP44	Studleigh Range STUD9	L35328837	P	-42.7727840	172.0564040	2020-02-10		obsr6143070	S189583595	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	1		Studleigh Range2020 PredatorFree		
URN:CornellLabOfOrnithology:EBIRD:OBS2353542012	2024-07-30 17:32:27.377494	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				2					New Zealand	NZ	Canterbury	NZ-CAN	Hurunui District	NZ-CAN-058				blkCP44	Studleigh Range STUD18	L35328833	P	-42.7731810	172.0489680	2020-02-10		obsr6143070	S189583584	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	1		Studleigh Range2020 1080_treeline_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353542005	2024-07-30 17:32:27.377494	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	Canterbury	NZ-CAN	Hurunui District	NZ-CAN-058				blkCP44	Studleigh Range STUD10	L35328831	P	-42.7740350	172.0563730	2020-02-09		obsr6143070	S189583577	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	1		Studleigh Range2020 1080_treeline_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353542010	2024-07-30 17:32:27.377494	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	Canterbury	NZ-CAN	Hurunui District	NZ-CAN-058				blkCP44	Studleigh Range STUD17	L35328832	P	-42.7765810	172.0485390	2020-02-09		obsr6143070	S189583582	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	1		Studleigh Range2020 1080_treeline_beech		
URN:CornellLabOfOrnithology:EBIRD:OBS2353542011	2024-07-30 17:32:27.377494	12976	species	avibase-19420218	South Island Wren	Xenicus gilviventris				1					New Zealand	NZ	Canterbury	NZ-CAN	Hurunui District	NZ-CAN-058				blkCP44	Studleigh Range STUD18	L35328833	P	-42.7731810	172.0489680	2020-02-09		obsr6143070	S189583583	Incidental	P20	EBIRD_ATL_NZ				1	0		0	1	1		Studleigh Range2020 control_beechgap		
