gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
977205778	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS225716267	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Prince of Wales	Otago	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.767395	168.65302							2013-11-15	15	11	2013	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS225716267				CC_BY_4_0		obsr337627			2024-04-17T08:23:32.337Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
976924999	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_NZ:OBS224521212	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Fiordland NP--east Homer Tunnel	Southland	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.7642	167.9869							2011-11-10	10	11	2011	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD_NZ	OBS224521212				CC_BY_4_0		obsr444699			2024-04-17T09:07:24.802Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
964538944	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS209872557	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Fiordland NP--east Homer Tunnel	Southland	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.7642	167.9869							2009-12-19	19	12	2009	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS209872557				CC_BY_4_0		obsr284567			2024-04-17T09:06:42.352Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
964226612	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_NZ:OBS209588518	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Fiordland NP--east Homer Tunnel	Southland	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.7642	167.9869							2002-10-30	30	10	2002	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD_NZ	OBS209588518				CC_BY_4_0		obsr329542			2024-04-17T09:11:09.307Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
962468066	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS207823760	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Fiordland NP--Kepler Track (Te Anau end)	Southland	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	-45.44019	167.68555							2004-11-17	17	11	2004	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS207823760				CC_BY_4_0		obsr292802			2024-04-17T08:45:03.835Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
960627459	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS205552469	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Peak 1878 North Branch	Otago	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.60088	168.23462							2011-01-01	1	1	2011	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS205552469				CC_BY_4_0		obsr275603			2024-04-17T08:45:49.468Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
960627218	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS205552465	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	North Branch	Otago	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.687897	168.18564							2011-01-01	1	1	2011	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS205552465				CC_BY_4_0		obsr275603			2024-04-17T08:45:29.186Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
960626849	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS205552466	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Mt Amphion	Otago	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.607693	168.23386							2011-01-01	1	1	2011	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS205552466				CC_BY_4_0		obsr275603			2024-04-17T08:45:55.129Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
960620992	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS205552771	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Ocean Peak Routeburn	Southland	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.743603	168.18082							2010-04-12	12	4	2010	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS205552771				CC_BY_4_0		obsr275603			2024-04-17T08:35:18.895Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
960610779	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS205552468	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Mt Chaos	Otago	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.61211	168.26312							2011-01-01	1	1	2011	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS205552468				CC_BY_4_0		obsr275603			2024-04-17T08:45:25.145Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
960610722	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS205552470	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Rockburn	Otago	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.663063	168.26021							2011-01-01	1	1	2011	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS205552470				CC_BY_4_0		obsr275603			2024-04-17T08:45:41.609Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
960610494	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS205552467	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Peak 1489  North Branch Routeburn	Southland	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.676933	168.19032							2011-01-01	1	1	2011	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS205552467				CC_BY_4_0		obsr275603			2024-04-17T08:45:51.382Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
960610418	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS205552472	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Rock Burn Sugarloaf Pass	Otago	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.68761	168.27008							2011-01-01	1	1	2011	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS205552472				CC_BY_4_0		obsr275603			2024-04-17T08:45:43.841Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
960610328	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS205552463	Animalia	Chordata	Aves	Passeriformes	Acanthisittidae	Xenicus	Xenicus gilviventris		SPECIES	Xenicus gilviventris Pelzeln, 1867	Xenicus gilviventris		NZ	Lake Unknown	Otago	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.6253	168.25139							2011-01-01	1	1	2011	2484583	2484583	HUMAN_OBSERVATION	CLO	EBIRD	OBS205552463				CC_BY_4_0		obsr275603			2024-04-17T08:45:49.449Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
