POLITICAL_UNIT,NAME,WGMS_ID,REC_SERIES_ID,YEAR,YEAR_UNC,REFERENCE_YEAR,REF_YEAR_UNC,FRONT_VARIATION,QUALITATIVE_VARIATION,FRONT_VAR_POS_UNC,FRONT_VAR_NEG_UNC,LOWEST_ELEVATION,HIGHEST_ELEVATION,ELEVATION_UNC,MORAINE_DEFINED_MAX,METHOD_CODE,METHOD_REMARKS,REMARKS
AR,AMEGHINO,3800,9,1765,100.0,,,,+X,,,,,,MPE,RAD,Radiocarbon dating of in situ stumps buried by outwash plain outside moraine,YEAR: Estimated date of formation of frontal moraine based on 14C dating of in situ trees buried by outwash plain outside moraine
AR,AMEGHINO,3800,9,1947,0.0,1765,100.0,-170.0,,15.0,50.0,,,,,PHO,Glacier front position identified in 1947 air photo,
AR,AMEGHINO,3800,9,1970,0.0,1947,0.0,-160.0,,15.0,15.0,,,,,PHO,Glacier front position identified in 1970 air photo,
AR,AMEGHINO,3800,9,1986,0.0,1970,0.0,-3600.0,,15.0,15.0,,,,,OTH,Glacier front position identified in 1986 Landsat image,
AR,AMEGHINO,3800,9,2000,0.0,1986,0.0,-500.0,,15.0,15.0,,,,,OTH,Glacier front position identified in 2000 Landsat image,
AR,AMEGHINO,3800,9,2005,0.0,2000,0.0,-390.0,,15.0,15.0,,,,,OTH,Glacier front position identified in 2005 ASTER image,
AR,ESPERANZA NORTE,3711,10,1691,,1652,,-130.0,,,,,,,,DEN,,
AR,ESPERANZA NORTE,3711,10,1792,,1691,,-210.0,,,,,,,,DEN,,
AR,ESPERANZA NORTE,3711,10,1795,,1792,,100.0,,,,,,,,DEN,,
AR,ESPERANZA NORTE,3711,10,1807,,1795,,-120.0,,,,,,,,DEN,,
AR,ESPERANZA NORTE,3711,10,1830,,1807,,10.0,,,,,,,,DEN,,
AR,ESPERANZA NORTE,3711,10,1876,,1830,,-280.0,,,,,,,,DEN,,
AR,ESPERANZA NORTE,3711,10,1927,,1876,,-610.0,,,,,,,,DEN,,
AR,ESPERANZA NORTE,3711,10,1933,,1927,,-350.0,,,,,,,,DEN,,
AR,ESPERANZA NORTE,3711,10,1951,,1933,,-650.0,,,,,,,,OTH,direct measurement,
AR,ESPERANZA NORTE,3711,10,1958,,1951,,-100.0,,,,,,,,DEN,,
AR,ESPERANZA NORTE,3711,10,1972,,1958,,-200.0,,,,,,,,OTH,direct measurement,
AR,ESPERANZA NORTE,3711,10,1978,,1972,,140.0,,,,,,,,OTH,direct measurement,
AR,ESPERANZA NORTE,3711,10,1987,,1978,,-150.0,,,,,,,,OTH,direct measurement,
AR,ESPERANZA NORTE,3711,10,1996,,1987,,-290.0,,,,,,,,OTH,direct measurement,
AR,ESPERANZA NORTE,3711,10,2001,,1996,,-320.0,,,,,,,,OTH,direct measurement,
AR,ESPERANZA NORTE,3711,10,2007,,2001,,-220.0,,,,,,,,OTH,direct measurement,
AR,FRIAS,1347,11,1639,10.0,,,,+X,,,,,,MPE,COM,"Mapping: Field surveys, analyses of air photos and satellite imagery; Dating: Dendrochronology",YEAR: Estimated from tree-ring dating of an ice-scarred tree
AR,FRIAS,1347,11,1727,10.0,1639,10.0,-262.0,,15.0,15.0,,,,MPE,COM,"Mapping: Field surveys, analyses of air photos and satellite imagery; Dating: Dendrochronology",MAXIMUM DATE estimated from tree-ring dating of an ice-scarred tree (see Villalba et al. 1990).
AR,FRIAS,1347,11,1752,20.0,1727,10.0,-54.0,,15.0,15.0,,,,MPE,COM,"Mapping: Field surveys, analyses of air photos and satellite imagery; Dating: Dendrochronology",MINIMUM DATE estimated from age of trees growing on moraines (see Villalba et al. 1990).
AR,FRIAS,1347,11,1884,20.0,1752,20.0,-233.0,,15.0,15.0,,,,MME,COM,"Mapping: Field surveys, analyses of air photos and satellite imagery; Dating: Dendrochronology",MINIMUM DATE estimated from age of trees growing on moraines (see Villalba et al. 1990).
AR,FRIAS,1347,11,1916,20.0,1884,20.0,-203.0,,15.0,15.0,,,,MMP,COM,"Mapping: Field surveys, analyses of air photos and satellite imagery; Dating: Dendrochronology",MINIMUM DATE estimated from age of trees growing on moraines (see Villalba et al. 1990).
AR,FRIAS,1347,11,1944,0.0,1916,20.0,-455.0,,15.0,15.0,,,,,PHO,Glacier front position identified in 1944 air photo,
AR,FRIAS,1347,11,1970,0.0,1944,0.0,-335.0,,15.0,15.0,,,,,PHO,Glacier front position identified in 1970 air photo,
AR,FRIAS,1347,11,1976,0.0,1970,0.0,402.0,,5.0,5.0,,,,MME,OTH,Field surveys and front position measurements by S. Rubulis complemented with the tree-ring dating of a small moraine formed in 1976/77 (see Villalba et al. 1990).,
AR,FRIAS,1347,11,1977,0.0,1976,0.0,20.0,,5.0,5.0,,,,MME,OTH,Field surveys and front position measurements by S. Rubulis complemented with the tree-ring dating of a small moraine formed in 1976/77 (see Villalba et al. 1990).,
AR,FRIAS,1347,11,1978,0.0,1977,0.0,-38.0,,5.0,5.0,,,,,OTH,Field surveys and front position measurements by S. Rubulis.,
AR,FRIAS,1347,11,1979,0.0,1978,0.0,-22.0,,10.0,10.0,,,,,COM,Glacier front position identified in 1979 air photo complemented with field surveys and front position measurements by S. Rubulis,
AR,FRIAS,1347,11,1980,0.0,1979,0.0,-26.0,,5.0,5.0,,,,,OTH,Field surveys and front position measurements by S. Rubulis.,
AR,FRIAS,1347,11,1981,0.0,1980,0.0,-24.0,,5.0,5.0,,,,,OTH,Field surveys and front position measurements by S. Rubulis.,
AR,FRIAS,1347,11,1982,0.0,1981,0.0,-46.0,,5.0,5.0,,,,,OTH,Field surveys and front position measurements by S. Rubulis.,
AR,FRIAS,1347,11,1983,0.0,1982,0.0,-66.0,,5.0,5.0,,,,,OTH,Field surveys and front position measurements by S. Rubulis.,
AR,FRIAS,1347,11,1984,0.0,1983,0.0,-84.0,,5.0,5.0,,,,,OTH,Field surveys and front position measurements by S. Rubulis.,
AR,FRIAS,1347,11,1985,0.0,1984,0.0,-26.0,,5.0,5.0,,,,,OTH,Field surveys and front position measurements by S. Rubulis.,
AR,FRIAS,1347,11,1986,0.0,1985,0.0,-10.0,,25.0,25.0,,,,,OTH,Glacier front position identified in 1986 Landsat image,
