POLITICAL_UNIT,NAME,WGMS_ID,EVENT_ID,EVENT_DATE,ET_SURGE,ET_CALVING,ET_FLOOD,ET_AVALANCHE,ET_TECTONIC,ET_OTHER,EVENT_DESCRIPTION,INVESTIGATOR,SPONS_AGENCY,REFERENCE,REMARKS
AF,UNNAMED 25830,26359,3443,20180712,False,False,True,False,False,False,"On July 12, 2018 a GLOF took place in Peshghar village in Khenj District. The fllod originated from the upstream of the river which flowed through the dense settlement of the Peshghor village. The landslides and floodwaters hit villages downstream because of the break-up of the natural banks of the dam. As a result, Peshghor and surrounding villages have been cut off and damages have been reported on structures and buildings. Within the current map extent saricha primary road is potentially affected by the landslides and the overflow of Panjshir River. Arount 198 buildings are located within areas affected by the landslide and 9 within areas affected by the floods. It was estimated that 80 houses are potentially destroyed and 20 ha of cultivated land are lost. About 1.5km of the highway was damaged due to flood as well as inundation by formation of lake in the Panjshir River. This disconnected the people living in upstream of river from the main city in downstream. The intake site of irrigation canal and about 400m canal was completely damaged. Another major damage associated with GLOF is erosion and sedimentation along the river. Due to this flood several hundred square meters of fertile agriculture land was covered with debris of sand and boulders. The main sources of the river was glacier and snow melt. The lake was formed on the low land of the moraine deposited by the glacier melt. Lake was first observed on the satellite image of 6 June 2018 which was 0.031 km^2. The area of the lake increased up to the 0.072 km^2 on 1 July 2018. The average rate of increase was 0.002 km^2 per day. After 1 July the lake area started to decrease and just before the flood on 11 July, 2018 the size of the lake was 0.055 km^2. The water flow width in the river increased in the consecutive time of satellite images from 6 July 2018. This indicates that water from the lake was discharging. Melting of ice core inside the moraine dam resulted the lowering of dam, and allowing lake water to pass into the loose unconsolidated moraine and drain over the ice inside the moraine. The continuous water flow into the moraine consisting ice core eroded the debris and melted the ice into the downstream river valley. Eventually, the regressive erosion and melting of debris and ice core into the moraine dam lead to ultimate failure of dam and sudden release of water from the lake causing the devastating flood along the river downstream.",Sudan Bikash Maharjan; UNITAR; USAID,"International Centre for Integrated Mountain Development, Khumaltar, Lalitpur, Kathmandu, Nepal; UNITAR - UNOSAT, Palais des Nations 10, 1211 Geneva, Switzerland. ; USAID, 1300 Pennsylvania Avenue NW, Washington, DC 20004, USA.","Maharjan (2018): Peshghor Flood in Khenj District, Panjshir Province, AF, 12/07/2018. UNITAR (2018): AF, Peshghor village, Khenj District, Panjshir Province. USAID (2018): AF, Landslide/ Flashflood in Peshghor Khenj District Panjsher Province 12/07/2018.",
AQ,NO 38,4037,344,19909999,True,False,False,False,False,False,"The Oktyabr'sky glacier surged for an estimated 6ears, advancing up to 3.3km.",,,Kotlakov (2008),1985-1990
AR,ALTO DEL PLOMO,922,133,19841114,True,False,True,False,False,False,"On 14 November 1984, Rio del Plomo was dammed by a glacier surge and a lake began to form some days later. On 9 January 1985, the lake had reached 2.8 km in length and 1.1 km in width. Catastrophic floods did not occur, probably due to the fact that water was able to drain over the heavily broken ice at the contact between the advancing glacier front and the opposite rocks of the valley wall.",,,"Espizua, L. E., Bengochea, J. D. (1990): Surge of Grande del Nevado Glacier (Mendoza, Argentina) in 1984: its evolution through satellite images. Geografiska Annaler, 72 A (3 – 4), 255 - 259.",
AR,AZUFRE,2851,3428,20181214,False,False,False,False,True,False,Between 14/12/2018 and 15/01/2018 eruptive activity was reported on Peteroa volcano with ash and vapor column 400-1300 high. The plume was mainly oriented SE and the deposit area reaches up to 20 km.,"Pierre Pitte, Laura Zalazar",IANIGLA-CONICET,,
AR,CERRO MARMOLEJO EAST GLACIER,8171,594,,True,False,False,False,False,False,"Event description from Sevestre & Benn (2015): Satellite imagery makes it possible to infer the existence of surging glaciers because medial moraines of surging glaciers are contorted into sinuous patterns, a telltale sign of a surging glacier. This is the case for a glacier east of Cerro Polleras (at the head of Arroyo Desmochado), for the east glacier of Cerro Marmolejo..."" IAHS1999",,,"Event description, Surge Diagnostic features and index based on IAHS1999. For full reference see Sevestre, H., & Benn, D. I. (2015). Journal of Glaciology, 61, 228, 646-662.",
AR,COLINA (COLINO),8170,593,19379999,True,False,False,False,False,False,"Event description from Sevestre & Benn (2015): In Chile and Argentina there are several cases of surging glaciers (...) near Santiago (Juncal Sur, Museo and Colina). CG1998",,,"Event description, Surge Diagnostic features and index based on CG1998. For full reference see Sevestre, H., & Benn, D. I. (2015). Journal of Glaciology, 61, 228, 646-662.",
AR,EAST OF CERRO POLLERAS,8169,592,,True,False,False,False,False,False,"Event description from Sevestre & Benn (2015): ""Satellite imagery makes it possible to infer the existence of surging glaciers because medial moraines of surging glaciers are contorted into sinuous patterns, a telltale sign of a surging glacier. This is the case for a glacier east of Cerro Polleras (at the head of Arroyo Desmochado),..."" IAHS1999",,,"Event description, Surge Diagnostic features and index based on IAHS1999. For full reference see Sevestre, H., & Benn, D. I. (2015). Journal of Glaciology, 61, 228, 646-662.",
AR,FRIAS,1347,3444,19429999,False,False,True,False,False,False,"Between 1942 and Between 1942 and 1953, a GLOF took place in Frias glacier.",Jonathan L. Carrivick and Fiona S. Tweed,"School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",
AR,GLACIER B,8173,1152,19869999,True,False,False,False,False,False,"Event description from Sevestre & Benn (2015): ""In the Rio Tupungato Basin, and unnamed glacier to the South of Tupungato Glacier known as Glacier B has advanced 1,100m since 1985-1986."" CG1998",,,"Event description, Surge Diagnostic features and index based on CG1998. For full reference see Sevestre, H., & Benn, D. I. (2015). Journal of Glaciology, 61, 228, 646-662.",surge onset: 1985
AR,GRANDE DEL JUNCAL GLACIER JUNCAL I,8166,588,19559999,True,False,False,False,False,False,"Event description from Sevestre & Benn (2015): ""Glaciar Grande del Juncal experienced a rapid advance in 1910 which was documented by Helbling , and another advance may be deduced by comparing Helbling's 1934 map and the 1955 aerial photographs. The terminus of the glacier must have advanced sometimes within this period because it was located about 140m beyond the position marked by Helbling in 1934."" ELE1986 ""In the Rio del Plomo Basin at 33*S, Grande del Juncal Glacier surged in 1910 and some time between 1934 and 1955."" CG1998",,,"Event description, Surge Diagnostic features and index based on ELE1986, CG1998. For full reference see Sevestre, H., & Benn, D. I. (2015). Journal of Glaciology, 61, 228, 646-662.",surge onset: 1934
AR,GRANDE DEL JUNCAL GLACIER JUNCAL I,8166,589,19109999,True,False,False,False,False,False,"Event description from Sevestre & Benn (2015): ""photos taken by Helbling, Reichert and Larden between 1908 and 1912 show that, while the glacier fronts were retreating, there was an advance of ""white ice"" over ""grey ice"" in Glaciar Grande Del Juncal between march and November 1910."" ELE1986 ""Glaciar Grande del Juncal experienced a rapid advance in 1910 which was documented by Helbling"" ELE1986 Juncal I glacier: ""Helbling detected a rapid advance in 1910"" LRE1995 Listed as ""surges?"" in table p262 based on Direct observations and/or historical documents in MMH2009 ""In the Rio del Plomo Basin at 33*S, Grande del Juncal Glacier surged in 1910 and some time between 1934 and 1955."" CG1998 reported advance between 0.5-1km",,,"Event description, Surge Diagnostic features and index based on ELE1986, CG1998. For full reference see Sevestre, H., & Benn, D. I. (2015). Journal of Glaciology, 61, 228, 646-662.",
AR,GRANDE DEL NEVADO DEL PLOMO,3304,97,19340110,True,False,True,False,False,False,"The flood of 10 January 1934 had a peak discharge of 3,200 m3/s and destroyed bridges and 12.6 km of railroad along Río Mendoza. Inspection of the site showed that Glaciar Grance del Nevado del Plomo had advanced 900 m since its last inspection, 22 years before. It had produced a lake 3 km long, with a maximum depth of 75 m and a volume of 60 million m3 of water. Clean white ice overthrusted the old moraine. The duration of the advance was unknown and controversial (Espizúa, 1986).",,,"Espizua, L., 1986: Geografiska Annaler, 68 A, 4: 317-327.; Espizua, L., Bengochea, J., 1990, Geografiska Annaler, 72 A, 3-4: 255-259.; Helbling, R., 1935: The Geographical Journal, Vol. 85, Nº 1: 41-49. WGMS (2012): FoG 2005-2010 (Vol. X).",
AR,GRANDE DEL NEVADO DEL PLOMO,3304,220,20079999,True,False,False,False,False,False,"The Grande del Nevado glacier had a new surge event during 2007. Between the satellite images of 25 September 2006 and 20 March 2007, after 23 years of a quiescent phase, the glacier started to move and advanced 400 m. In the autumn of 2007 it flowed down the valley about 600 m in 16 days, with a maximum velocity of 34 m d-1. Between 23 May 2007 and 28 September 2007, there were no satellite images available for monitoring the glacier due to the presence of clouds and snow, but the main advance occurred during this period. The glacier moved 1.8 km, reaching the outcrop named Roca Pulida, and its front broadened around it. The difference between this new surge event and those occurring in 1934 and 1984 (cf. Helbling 1935, Espizua 1986, Espizua and Bengochea 1990) is that in this case an ice-dammed lake was not formed upstream of the glacier front. Nowadays the Plomo river flows through a subglacial tunnel of the Grande del Nevado glacier front. The total volume of displaced ice and debris during the whole event is estimated to be about 83 x 1 million m3.",,,"Espizua, L., 1986: Geografiska Annaler, 68 A, 4: 317-327.; Espizua, L., Bengochea, J., 1990, Geografiska Annaler, 72 A, 3-4: 255-259.; Helbling, R., 1935: The Geographical Journal, Vol. 85, Nº 1: 41-49. WGMS (2012): FoG 2005-2010 (Vol. X).","Data reported by Lidia Ferri Hidalgo. Earlier special events on Grande del Nevado glacier were reported in: Espizua, 1986; Espizua and Bengochea, 1990; WGMS, 1993."
AR,GRANDE DEL NEVADO DEL PLOMO,3304,582,17869999,True,False,False,False,False,False,"Event description from Sevestre & Benn (2015): ""There is also evidence that durging the eighteenth century it (Glaciar Grande del Nevado del Plomo) could possibly have surged (Prieto 1986), though there is no certainty about the exact date on which this occured"" BRH1987 ""Historic sources speak of a probable similar event (surge) in 1786 (Prieto, 1986)"" ELE19900",,,"Espizua, L., 1986: Geografiska Annaler, 68 A, 4: 317-327.; Espizua, L., Bengochea, J., 1990, Geografiska Annaler, 72 A, 3-4: 255-259.; Helbling, R., 1935: The Geographical Journal, Vol. 85, Nº 1: 41-49. WGMS (2012): FoG 2005-2010 (Vol. X).",
AR,GRANDE DEL NEVADO DEL PLOMO,3304,583,19129999,True,False,False,False,False,False,"Event description from Sevestre & Benn (2015): ""Glaciar Grande del Nevado advance began in 1912"" ELE1986",,,"Espizua, L., 1986: Geografiska Annaler, 68 A, 4: 317-327.; Espizua, L., Bengochea, J., 1990, Geografiska Annaler, 72 A, 3-4: 255-259.; Helbling, R., 1935: The Geographical Journal, Vol. 85, Nº 1: 41-49. WGMS (2012): FoG 2005-2010 (Vol. X).",
AR,GRANDE DEL NEVADO DEL PLOMO,3304,584,19749999,True,False,False,False,False,False,"Event description from Sevestre & Benn (2015): ""In 1974 the front of the glacier was 1050m beyond the position reached in 1963 (...) The 1974 aerial photographs show that the ice volume in the area covered by supraglacial drift had evidently increased"". ELE1986 ""Grande del Nevado glacier surged at the end of 1933, between 1963 and 1974, and again in 1984 (Helbling 1919, 1935, 1940; Espizua, 1986, 1987; Espizua and Bengochea, 1990; Bruce et al., 1987; Prieto, 1986; IAHS(ICSI)/UNEP/UNESCO, 1998, 1993)."" CG1998 ""Grande del Nevado Glacier experienced a surge in 1933 (Helbling, 1935,1940), an advance of 1050m between 1963 and 1974, where the ice volume in the area covered by supraglacial drift had evidently increased, with the glacier showing a differrent behaviour in respect to the other glaciers in the Plomo area,..."" ELE1990",,,"Espizua, L., 1986: Geografiska Annaler, 68 A, 4: 317-327.; Espizua, L., Bengochea, J., 1990, Geografiska Annaler, 72 A, 3-4: 255-259.; Helbling, R., 1935: The Geographical Journal, Vol. 85, Nº 1: 41-49. WGMS (2012): FoG 2005-2010 (Vol. X).",
AR,GRANDE DEL NEVADO DEL PLOMO,3304,585,19849999,True,False,False,False,False,False,"Event description from Sevestre & Benn (2015): ""Satellite imagery showed that in September 1984 Glaciar Grande del Nevado del Plomo had advanced, and that in November-December an ice dammed lake had formed. The glacier's snout rested against ""Roca Pulida"" and its surface exhibited the typical features of a surge, i.e. a chaotic mass of crevasses and ice pinnacles"" BRH1987 ""... Such is the case with the Grande del Nevado del Plomo, the 1984 surge of which can be observed on satellite images. The surge began sometime between February and April 1984, after advancing 2,7km the glacier front reached Roca Pulida in november the same year, thus damming the Plomo River. (...) The surge of Grande del Nevado del Pomo is easily recognised in the color composite of the 1985 image (MSS) due to its dark colour with small elongated marks of a lighter colour. The glacier was fragmented into blocks with abundant debris, caused by the sudden and rapid advance"". LRE1995 ""On February 1985, owing to the abnormally high flow of the Tupungato River, it was possible to detect the dam created in the Plomo watershed by a new surge of the Grande del Nevado del Plomo Glacier (Bruce et al 1987)"" LJC1999 ""The evolution of another, recent surge of Glaciar Grande del Nevado was documented using Landsat imagery. Following a sudden advance of ca 2,7km from its 1974 position, the glacier dammed Rio del Plomo in November 1984 and created a new 2,8km long lake that drained gradually through a natural subglacial tunnel in march 1985 (Espizua and Bengochea, 1990)."" MMH2009 ""Grande del Nevado glacier surged at the end of 1933, between 1963 and 1974, and again in 1984 (Helbling 1919, 1935, 1940; Espizua, 1986, 1987; Espizua and Bengochea, 1990; Bruce et al., 1987; Prieto, 1986; IAHS(ICSI)/UNEP/UNESCO, 1998, 1993)."" CG1998 ""(Grande del Nevado Glacier) experienced a new surge in 1984 (Espizua, 1986, 1987)."" ELE1990 ""During its 3-kilometer surge, Plomo glacier (full name = Glaciar Grande del Nevado del Plomo) crossed the Rio Plomo in the Cerro Tupungato area at a speed of several meters per day and dammed up a lake of consider- able volume (several tens of millions of cubic meters). In February and March 1985, the lake partially filled and emptied three times. Cata- strophic floods did not occur, probably due to the fact that water was able to flow out over the heavily broken ice at the contact between the advancing glacier front and the opposite rocks of the valley wall. The return period of the surge appears to be about 50 years. The glacier flood triggered by the last event in 1934 had caused heavy damage - especially to the Trans-Andean railway - and loss of lives. Reference/most important data source: Bruce et al. (1987), IANIGLA (1985), Rosario Prieto (1986)."" WGMS1988 ""The surge of the glacier as reported in the last volume was documented through analysis of Landsat imagery for 22 different dates between 1976 and 1986. The surge started sometime between 16 February 1984 and 4 April 1984. Between 4 April and 26 August, the advance amounted to 2 km. At the latter date, the surge front was already within 150 m of Roca Pu- lida. The frontal lobe of the glacier mainly broadened during the fol- lowing months before reaching Roca Pulida in November 1984 and damming the Rio Plomo after a total advance of about 2.7 km. The existence of the dangerous ice-dammed lake came to a definite end in March 1985. Reference/most important data source: Espizua and Bengochea (1990)."" WGMS1993b",,,"Espizua, L., 1986: Geografiska Annaler, 68 A, 4: 317-327.; Espizua, L., Bengochea, J., 1990, Geografiska Annaler, 72 A, 3-4: 255-259.; Helbling, R., 1935: The Geographical Journal, Vol. 85, Nº 1: 41-49. WGMS (2012): FoG 2005-2010 (Vol. X).",
AR,GRANDE DEL NEVADO DEL PLOMO,3304,3445,17880102,False,False,True,False,False,False,"On January 2, 1788 a GLOF took place in Grande Del Nevado Plomo glacier.",Jonathan L. Carrivick and Fiona S. Tweed,"School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",
AR,GRANDE DEL NEVADO DEL PLOMO,3304,3446,19340111,False,False,True,False,False,False,"On January 1, 1934 a GLOF took place in Grande Del Nevado Del Plomo glacier.",Jonathan L. Carrivick and Fiona S. Tweed,"School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",
AR,GRANDE DEL NEVADO DEL PLOMO,3304,3447,19870301,False,False,True,False,False,False,"On March 1, 1987 a GLOF took place in Grande Del Nevado Del Plomo glacier.",Jonathan L. Carrivick and Fiona S. Tweed,"School of Geography, University of Leeds, Woodhouse Lane, Leeds, West Yorkshire LS2 9JT, UK; Geography, Staffordshire University, Leek Road, Stoke-on-Trent, Staffordshire ST4 2DF, UK","Carrivick, J. L. and Tweed, F. S. (2016). A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change, 144, pp. 1-16.",
AR,GRANDE DEL NEVADO DEL PLOMO,3304,3448,19849999,False,False,True,False,False,False,"In 1984, a GLOF took place in Grande del Nevado Plomo glacier in lake Plomo.",Stephan Harrison et al.,"University of Exeter, Prince of Wales Road, Exeter, Devon UK, EX4 4SB","Harrison, S. et al. (2018); Climate change and the global pattern of moraine-dam glacial lake outburst floods, The Cryosphere, (12), 1195-1209 p.",The data come the database of glacier and permafrost disasters (2013).
